SAEMHI_MOE,SAEMHI_PT,SAEMHI_UB90,SAEPOV0_17_LB90,SAEPOV0_17_MOE,SAEPOV0_17_PT,SAEPOV0_17_UB90,SAEPOV0_4_LB90,SAEPOV0_4_MOE,SAEPOV0_4_PT,SAEPOV0_4_UB90,SAEPOV5_17R_LB90,SAEPOV5_17R_MOE,SAEPOV5_17R_PT,SAEPOV5_17R_UB90,SAEPOVALL_LB90,SAEPOVALL_MOE,SAEPOVALL_PT,SAEPOVALL_UB90,SAEPOVRT0_17_LB90,SAEPOVRT0_17_MOE,SAEPOVRT0_17_PT,SAEPOVRT0_17_UB90,SAEPOVRT0_4_LB90,SAEPOVRT0_4_MOE,SAEPOVRT0_4_PT,SAEPOVRT0_4_UB90,SAEPOVRT5_17R_LB90,SAEPOVRT5_17R_MOE,SAEPOVRT5_17R_PT,SAEPOVRT5_17R_UB90,SAEPOVRTALL_LB90,SAEPOVRTALL_MOE,SAEPOVRTALL_PT,SAEPOVRTALL_UB90,SAEPOVU_0_17,SAEPOVU_0_4,SAEPOVU_5_17R,SAEPOVU_ALL,YEAR
378.0,38885.0,39263.0,12979586.0,486958.0,13466544.0,13953502.0,3752962.0,285622.0,4038584.0,4324206.0,8511476.0,411459.0,8922935.0,9334394.0,33555896.0,919866.0,34475762.0,35395628.0,18.2,0.7,18.9,19.6,19.4,1.45,20.8,22.3,16.7,0.8,17.5,18.3,12.4,0.35,12.7,13.1,71338364.0,19382484.0,51060953.0,271059449.0,1998
313.0,40696.0,41009.0,11810623.0,469698.0,12280321.0,12750019.0,3323894.0,270522.0,3594416.0,3864938.0,7791630.0,396438.0,8188068.0,8584506.0,31891000.0,900272.0,32791272.0,33691544.0,16.5,0.65,17.1,17.8,17.5,1.45,18.9,20.4,15.1,0.75,15.9,16.6,11.5,0.35,11.9,12.2,71684956.0,18968750.0,51642359.0,276207757.0,1999
217.0,41990.0,42207.0,11127838.0,459280.0,11587118.0,12046398.0,3312911.0,270187.0,3583098.0,3853285.0,7154100.0,382475.0,7536575.0,7919050.0,30695361.0,885725.0,31581086.0,32466811.0,15.5,0.65,16.2,16.8,17.3,1.4,18.7,20.1,13.9,0.75,14.6,15.4,11.0,0.3,11.3,11.6,71741141.0,19181906.0,51548879.0,278944452.0,2000
212.0,42228.0,42440.0,11403410.0,329274.0,11732684.0,12061958.0,3383307.0,192572.0,3575879.0,3768451.0,7387461.0,274833.0,7662294.0,7937127.0,32262565.0,643946.0,32906511.0,33550457.0,15.8,0.45,16.3,16.7,17.6,1.0,18.6,19.6,14.3,0.5,14.8,15.3,11.5,0.2,11.7,11.9,72020548.0,19257993.0,51820491.0,281474939.0,2001
229.0,42409.0,42638.0,11795343.0,337302.0,12132645.0,12469947.0,3530466.0,196727.0,3727193.0,3923920.0,7722500.0,282014.0,8004514.0,8286528.0,33912173.0,657778.0,34569951.0,35227729.0,16.2,0.5,16.7,17.2,18.0,1.0,19.0,20.0,14.8,0.55,15.3,15.9,11.9,0.2,12.1,12.3,72695775.0,19594188.0,52168584.0,285317346.0,2002
309.0,43318.0,43627.0,12519657.0,346149.0,12865806.0,13211955.0,3817517.0,203849.0,4021366.0,4225215.0,8111130.0,288443.0,8399573.0,8688016.0,35190401.0,670769.0,35861170.0,36531939.0,17.2,0.45,17.6,18.1,19.3,1.05,20.3,21.4,15.5,0.55,16.1,16.6,12.2,0.25,12.5,12.7,72999159.0,19763309.0,52278842.0,287699184.0,2003
322.0,44334.0,44656.0,12694086.0,347406.0,13041492.0,13388898.0,3917910.0,205805.0,4123715.0,4329520.0,8142299.0,288587.0,8430886.0,8719473.0,36359662.0,680142.0,37039804.0,37719946.0,17.3,0.5,17.8,18.3,19.5,1.0,20.5,21.5,15.6,0.55,16.2,16.7,12.5,0.25,12.7,13.0,73241407.0,20121433.0,52159407.0,290616537.0,2004
104.0,46242.0,46346.0,13217771.0,142502.0,13360273.0,13502775.0,4187205.0,55743.0,4242948.0,4298691.0,8662789.0,102752.0,8765541.0,8868293.0,37934924.0,296550.0,38231474.0,38528024.0,18.4,0.15,18.5,18.7,21.0,0.25,21.3,21.5,16.8,0.2,17.0,17.2,13.2,0.1,13.3,13.4,72023983.0,19959312.0,51658744.0,287270432.0,2005
82.0,48451.0,48533.0,13170950.0,114619.0,13285569.0,13400188.0,4166465.0,44880.0,4211345.0,4256225.0,8613863.0,86185.0,8700048.0,8786233.0,38535015.0,222238.0,38757253.0,38979491.0,18.2,0.15,18.3,18.5,20.8,0.2,21.0,21.2,16.6,0.15,16.7,16.9,13.2,0.1,13.3,13.4,72482732.0,20066651.0,51999081.0,291531091.0,2006
75.0,50740.0,50815.0,12981173.0,115927.0,13097100.0,13213027.0,4178842.0,50278.0,4229120.0,4279398.0,8419720.0,80124.0,8499844.0,8579968.0,37829283.0,222964.0,38052247.0,38275211.0,17.9,0.15,18.0,18.2,20.5,0.25,20.8,21.0,16.2,0.15,16.4,16.5,12.9,0.05,13.0,13.0,72665911.0,20348501.0,51904411.0,293744043.0,2007
73.0,52029.0,52102.0,13115296.0,125574.0,13240870.0,13366444.0,4311741.0,57957.0,4369698.0,4427655.0,8469455.0,80071.0,8549526.0,8629597.0,38858742.0,249680.0,39108422.0,39358102.0,18.0,0.2,18.2,18.4,20.9,0.3,21.2,21.5,16.3,0.15,16.5,16.6,13.1,0.1,13.2,13.3,72825003.0,20602241.0,51864080.0,296184480.0,2008
74.0,50221.0,50295.0,14526159.0,130803.0,14656962.0,14787765.0,4792377.0,57611.0,4849988.0,4907599.0,9419830.0,89312.0,9509142.0,9598454.0,42631574.0,236589.0,42868163.0,43104752.0,19.8,0.2,20.0,20.2,23.0,0.25,23.2,23.5,18.1,0.15,18.2,18.4,14.3,0.05,14.3,14.4,73347404.0,20878285.0,52143306.0,299026555.0,2009
64.0,50046.0,50110.0,15621395.0,127734.0,15749129.0,15876863.0,4910772.0,50752.0,4961524.0,5012276.0,10394015.0,90498.0,10484513.0,10575011.0,45975650.0,240306.0,46215956.0,46456262.0,21.4,0.2,21.6,21.8,24.8,0.2,25.0,25.2,19.6,0.2,19.8,20.0,15.2,0.1,15.3,15.4,73024577.0,19822633.0,52872735.0,301535021.0,2010
73.0,50502.0,50575.0,16262247.0,124253.0,16386500.0,16510753.0,5061357.0,48730.0,5110087.0,5158817.0,10882675.0,94312.0,10976987.0,11071299.0,48217869.0,234166.0,48452035.0,48686201.0,22.3,0.2,22.5,22.7,25.6,0.2,25.8,26.0,20.6,0.2,20.8,21.0,15.8,0.1,15.9,16.0,72802773.0,19772854.0,52708799.0,303778193.0,2011
53.0,51371.0,51424.0,16275868.0,120995.0,16396863.0,16517858.0,4971692.0,43278.0,5014970.0,5058248.0,10995403.0,91134.0,11086537.0,11177671.0,48528543.0,231580.0,48760123.0,48991703.0,22.4,0.2,22.6,22.8,25.4,0.2,25.6,25.8,20.8,0.2,21.0,21.2,15.8,0.1,15.9,16.0,72605436.0,19611275.0,52675863.0,306086063.0,2012
65.0,52250.0,52315.0,15948844.0,138116.0,16086960.0,16225076.0,4759374.0,52315.0,4811689.0,4864004.0,10860529.0,97703.0,10958232.0,11055935.0,48554692.0,256176.0,48810868.0,49067044.0,22.0,0.2,22.2,22.4,24.5,0.3,24.8,25.1,20.6,0.2,20.8,21.0,15.7,0.1,15.8,15.9,72382173.0,19438875.0,52605987.0,308196783.0,2013
