STATE,SAEMHI_MOE,SAEMHI_PT,SAEMHI_UB90,SAEPOV0_17_LB90,SAEPOV0_17_MOE,SAEPOV0_17_PT,SAEPOV0_17_UB90,SAEPOV0_4_LB90,SAEPOV0_4_MOE,SAEPOV0_4_PT,SAEPOV0_4_UB90,SAEPOV5_17R_LB90,SAEPOV5_17R_MOE,SAEPOV5_17R_PT,SAEPOV5_17R_UB90,SAEPOVALL_LB90,SAEPOVALL_MOE,SAEPOVALL_PT,SAEPOVALL_UB90,SAEPOVRT0_17_LB90,SAEPOVRT0_17_MOE,SAEPOVRT0_17_PT,SAEPOVRT0_17_UB90,SAEPOVRT0_4_LB90,SAEPOVRT0_4_MOE,SAEPOVRT0_4_PT,SAEPOVRT0_4_UB90,SAEPOVRT5_17R_LB90,SAEPOVRT5_17R_MOE,SAEPOVRT5_17R_PT,SAEPOVRT5_17R_UB90,SAEPOVRTALL_LB90,SAEPOVRTALL_MOE,SAEPOVRTALL_PT,SAEPOVRTALL_UB90,SAEPOVU_0_17,SAEPOVU_0_4,SAEPOVU_5_17R,SAEPOVU_ALL,YEAR
Alabama,1991.0,33204.0,35194.0,228439.0,26189.0,254628.0,280817.0,69287.0,12517.0,81804.0,94320.0,143204.0,22960.0,166164.0,189124.0,639118.0,42670.0,681788.0,724458.0,21.0,2.4,23.4,25.8,23.5,4.2,27.7,31.9,18.1,2.95,21.0,24.0,14.7,1.0,15.7,16.7,1088427.0,295264.0,789510.0,4348444.0,1998
Alaska,2148.0,47177.0,49325.0,22829.0,5185.0,28014.0,33199.0,5094.0,2088.0,7182.0,9270.0,14599.0,4788.0,19387.0,24175.0,59011.0,6959.0,65970.0,72929.0,11.9,2.75,14.6,17.4,11.0,4.5,15.5,20.0,10.3,3.35,13.6,17.0,9.6,1.15,10.8,11.9,191317.0,46424.0,142297.0,611654.0,1998
Arizona,1652.0,37281.0,38933.0,274944.0,31921.0,306865.0,338786.0,82034.0,16317.0,98350.0,114667.0,170735.0,26833.0,197568.0,224401.0,664872.0,45780.0,710652.0,756432.0,20.3,2.35,22.6,25.0,20.7,4.15,24.8,29.0,18.6,2.9,21.5,24.4,14.0,0.95,14.9,15.9,1354868.0,395926.0,920388.0,4764511.0,1998
Arkansas,1708.0,29212.0,30920.0,137955.0,19035.0,156989.0,176024.0,45535.0,8363.0,53898.0,62261.0,80845.0,17128.0,97973.0,115101.0,390240.0,27721.0,417961.0,445681.0,20.6,2.85,23.5,26.3,25.4,4.65,30.0,34.7,16.7,3.55,20.3,23.8,15.3,1.1,16.4,17.5,668749.0,179596.0,483195.0,2544944.0,1998
California,1160.0,41003.0,42163.0,1914647.0,150052.0,2064698.0,2214750.0,538996.0,70998.0,609994.0,680992.0,1263614.0,131957.0,1395571.0,1527528.0,4685194.0,231859.0,4917053.0,5148912.0,21.1,1.65,22.8,24.4,21.1,2.8,23.9,26.7,19.7,2.05,21.8,23.8,14.2,0.7,14.9,15.6,9073297.0,2553749.0,6412059.0,32955150.0,1998
Colorado,2016.0,43402.0,45417.0,130706.0,23395.0,154100.0,177495.0,35542.0,10972.0,46514.0,57486.0,80096.0,20492.0,100588.0,121080.0,365337.0,35477.0,400813.0,436290.0,12.0,2.15,14.2,16.3,12.0,3.7,15.7,19.4,10.3,2.6,12.9,15.5,9.0,0.9,9.9,10.8,1088585.0,296394.0,781277.0,4042184.0,1998
Connecticut,2235.0,49846.0,52081.0,88475.0,20352.0,108826.0,129178.0,16000.0,8936.0,24936.0,33872.0,60131.0,18094.0,78225.0,96319.0,250763.0,33009.0,283772.0,316781.0,10.8,2.5,13.3,15.8,7.4,4.1,11.5,15.6,10.1,3.05,13.1,16.2,7.7,1.0,8.7,9.7,816491.0,217501.0,594994.0,3269698.0,1998
Delaware,1904.0,42662.0,44565.0,23420.0,4282.0,27702.0,31984.0,6293.0,2049.0,8342.0,10391.0,14478.0,3756.0,18234.0,21990.0,65802.0,6894.0,72696.0,79590.0,12.7,2.3,15.0,17.3,12.3,4.0,16.3,20.3,10.9,2.85,13.7,16.6,8.8,0.95,9.7,10.7,184560.0,51249.0,132834.0,746861.0,1998
Florida,1188.0,34757.0,35944.0,725207.0,66282.0,791489.0,857770.0,212658.0,31281.0,243939.0,275219.0,455985.0,58284.0,514269.0,572553.0,1931101.0,109534.0,2040634.0,2150168.0,20.0,1.85,21.9,23.7,21.6,3.15,24.8,27.9,17.7,2.3,20.0,22.3,12.9,0.7,13.6,14.3,3619641.0,985518.0,2572782.0,15022569.0,1998
Georgia,1766.0,37826.0,39592.0,406216.0,48802.0,455018.0,503819.0,109273.0,23842.0,133114.0,156956.0,267235.0,43182.0,310417.0,353599.0,1012522.0,74596.0,1087118.0,1161714.0,19.4,2.35,21.8,24.1,18.2,3.95,22.1,26.1,18.0,2.95,21.0,23.9,13.1,0.95,14.1,15.0,2090238.0,601604.0,1481345.0,7723470.0,1998
