OCC_CODE,OCC_TITLE,OCC_GROUP,TOT_EMP,EMP_PRSE,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,YEAR
00-0000,All Occupations,total,142549250,0.1,24.34,50620.0,0.1,9.6,11.91,18.12,29.38,46.23,19970.0,24770.0,37690.0,61110.0,96150.0,2017
11-3010,Administrative Services Managers,broad,270100,0.6,49.7,103380.0,0.3,25.36,33.46,45.2,60.25,78.6,52750.0,69590.0,94020.0,125310.0,163480.0,2017
11-3011,Administrative Services Managers,detailed,270100,0.6,49.7,103380.0,0.3,25.36,33.46,45.2,60.25,78.6,52750.0,69590.0,94020.0,125310.0,163480.0,2017
11-3050,Industrial Production Managers,broad,171520,0.6,53.16,110580.0,0.3,29.5,37.48,48.36,62.89,81.15,61360.0,77970.0,100580.0,130820.0,168780.0,2017
11-3051,Industrial Production Managers,detailed,171520,0.6,53.16,110580.0,0.3,29.5,37.48,48.36,62.89,81.15,61360.0,77970.0,100580.0,130820.0,168780.0,2017
11-3060,Purchasing Managers,broad,70430,0.8,58.56,121810.0,0.4,32.04,41.67,55.65,70.57,87.87,66630.0,86670.0,115760.0,146780.0,182780.0,2017
11-3061,Purchasing Managers,detailed,70430,0.8,58.56,121810.0,0.4,32.04,41.67,55.65,70.57,87.87,66630.0,86670.0,115760.0,146780.0,182780.0,2017
11-3070,"Transportation, Storage, and Distribution Managers",broad,118680,1.1,48.43,100740.0,0.4,26.1,33.84,44.45,58.21,75.34,54300.0,70380.0,92460.0,121080.0,156710.0,2017
11-3071,"Transportation, Storage, and Distribution Managers",detailed,118680,1.1,48.43,100740.0,0.4,26.1,33.84,44.45,58.21,75.34,54300.0,70380.0,92460.0,121080.0,156710.0,2017
11-3110,Compensation and Benefits Managers,broad,15520,1.6,62.5,130010.0,0.7,32.94,43.15,57.27,76.03,97.4,68510.0,89750.0,119120.0,158130.0,202590.0,2017
11-3111,Compensation and Benefits Managers,detailed,15520,1.6,62.5,130010.0,0.7,32.94,43.15,57.27,76.03,97.4,68510.0,89750.0,119120.0,158130.0,202590.0,2017
11-3120,Human Resources Managers,broad,136310,0.6,59.38,123510.0,0.3,31.27,40.02,52.94,71.79,95.06,65040.0,83230.0,110120.0,149330.0,197720.0,2017
11-3121,Human Resources Managers,detailed,136310,0.6,59.38,123510.0,0.3,31.27,40.02,52.94,71.79,95.06,65040.0,83230.0,110120.0,149330.0,197720.0,2017
11-3130,Training and Development Managers,broad,34500,1.4,56.58,117690.0,0.5,28.45,38.34,52.05,69.19,90.22,59170.0,79740.0,108250.0,143920.0,187670.0,2017
11-3131,Training and Development Managers,detailed,34500,1.4,56.58,117690.0,0.5,28.45,38.34,52.05,69.19,90.22,59170.0,79740.0,108250.0,143920.0,187670.0,2017
11-9000,Other Management Occupations,minor,2368680,0.3,47.57,98940.0,0.2,20.7,29.47,42.65,59.53,78.57,43060.0,61290.0,88720.0,123820.0,163430.0,2017
