STATE,PR_ALL,PR_YOUTH,MED_HH_INCOME,YEAR
Alabama,17.7,24.1,22202.0,1989
Alaska,10.6,15.4,33885.0,1989
Arizona,14.7,23.3,28924.0,1989
Arkansas,17.9,24.4,20729.0,1989
California,12.7,21.3,33474.0,1989
Colorado,11.7,17.7,28368.0,1989
Connecticut,7.0,11.1,39548.0,1989
Delaware,9.4,13.7,31606.0,1989
Florida,12.9,20.7,26589.0,1989
Georgia,14.9,21.1,27317.0,1989
Hawaii,9.4,15.1,35832.0,1989
Idaho,13.5,18.7,25267.0,1989
Illinois,11.9,18.4,31846.0,1989
Indiana,10.3,15.3,27769.0,1989
Iowa,10.4,15.3,26169.0,1989
Kansas,10.8,15.7,26924.0,1989
Kentucky,17.2,24.9,23392.0,1989
Louisiana,22.4,32.0,22857.0,1989
Maine,10.7,15.6,26777.0,1989
Maryland,9.3,14.3,36415.0,1989
Massachusetts,8.4,13.9,35478.0,1989
Michigan,12.1,19.1,31067.0,1989
Minnesota,9.6,14.0,30536.0,1989
Mississippi,24.6,34.1,19874.0,1989
Missouri,13.0,18.9,26333.0,1989
Montana,15.0,21.5,23242.0,1989
Nebraska,11.1,15.6,25258.0,1989
Nevada,10.0,15.5,31797.0,1989
New Hampshire,6.7,9.3,32972.0,1989
New Jersey,8.0,12.8,38123.0,1989
New Mexico,19.0,26.6,23570.0,1989
New York,12.3,19.7,31229.0,1989
North Carolina,12.9,17.8,26247.0,1989
North Dakota,12.6,17.5,23910.0,1989
Ohio,12.1,18.3,28626.0,1989
Oklahoma,16.0,23.4,23162.0,1989
Oregon,12.5,19.2,27795.0,1989
Pennsylvania,10.4,16.4,28825.0,1989
Rhode Island,9.5,15.3,30983.0,1989
South Carolina,15.3,21.2,24814.0,1989
South Dakota,14.8,20.0,22186.0,1989
Tennessee,15.6,21.9,23898.0,1989
Texas,17.7,25.8,26134.0,1989
Utah,11.8,16.2,29370.0,1989
Vermont,9.9,14.7,27937.0,1989
Virginia,10.5,15.8,32555.0,1989
Washington,11.0,16.7,30634.0,1989
West Virginia,17.2,26.1,22542.0,1989
Wisconsin,9.6,14.7,29101.0,1989
Wyoming,11.6,15.7,29724.0,1989
Alabama,18.8,26.2,25907.0,1993
Alaska,11.2,15.9,39431.0,1993
Arizona,18.5,28.0,28427.0,1993
Arkansas,18.9,26.0,24019.0,1993
California,17.4,26.4,34128.0,1993
Colorado,11.7,16.5,33115.0,1993
Connecticut,9.2,16.5,42102.0,1993
Delaware,11.1,16.7,36002.0,1993
Florida,16.0,24.7,28230.0,1993
Georgia,16.8,25.2,31148.0,1993
Hawaii,9.6,14.9,39890.0,1993
Idaho,12.5,15.5,28987.0,1993
Illinois,13.4,20.4,33592.0,1993
Indiana,11.9,17.3,31055.0,1993
Iowa,11.1,15.1,28867.0,1993
Kansas,12.2,16.7,29544.0,1993
Kentucky,19.7,28.1,25222.0,1993
Louisiana,23.9,33.3,25239.0,1993
Maine,13.7,19.4,28732.0,1993
Maryland,10.2,15.1,39680.0,1993
Massachusetts,11.1,18.7,37431.0,1993
Michigan,15.0,23.6,32533.0,1993
Minnesota,10.8,14.7,33239.0,1993
Mississippi,24.6,33.9,22957.0,1993
Missouri,15.1,21.6,28542.0,1993
