,COUNTY_FULL,STATE_NAME,YEAR,UE_RATE
0,BECKER COUNTY,Minnesota,2022,2.9
1,CARLTON COUNTY,Minnesota,2022,3.6
2,LAC QUI PARLE COUNTY,Minnesota,2022,2.7
3,DOUGLAS COUNTY,Minnesota,2022,2.4
4,COOK COUNTY,Minnesota,2022,3.5
5,ISANTI COUNTY,Minnesota,2022,3.4
6,BIG STONE COUNTY,Minnesota,2022,3.3
7,KITTSON COUNTY,Minnesota,2022,2.8
8,CASS COUNTY,Minnesota,2022,4.2
9,LINCOLN COUNTY,Minnesota,2022,2.9
10,COTTONWOOD COUNTY,Minnesota,2022,2.8
11,BENTON COUNTY,Minnesota,2022,3.4
12,KOOCHICHING COUNTY,Minnesota,2022,4.0
13,BLUE EARTH COUNTY,Minnesota,2022,2.3
14,BELTRAMI COUNTY,Minnesota,2022,3.3
15,CARVER COUNTY,Minnesota,2022,2.2
16,BROWN COUNTY,Minnesota,2022,2.7
17,HENNEPIN COUNTY,Minnesota,2022,2.5
18,AITKIN COUNTY,Minnesota,2022,4.5
19,GRANT COUNTY,Minnesota,2022,2.9
20,KANABEC COUNTY,Minnesota,2022,4.7
21,LYON COUNTY,Minnesota,2022,2.5
22,FILLMORE COUNTY,Minnesota,2022,2.6
23,CROW WING COUNTY,Minnesota,2022,3.2
24,DODGE COUNTY,Minnesota,2022,2.7
25,LAKE OF THE WOODS COUNTY,Minnesota,2022,3.2
26,CHISAGO COUNTY,Minnesota,2022,3.1
27,ITASCA COUNTY,Minnesota,2022,4.5
28,CLEARWATER COUNTY,Minnesota,2022,6.6
29,JACKSON COUNTY,Minnesota,2022,2.5
30,FARIBAULT COUNTY,Minnesota,2022,3.2
31,DAKOTA COUNTY,Minnesota,2022,2.4
32,CHIPPEWA COUNTY,Minnesota,2022,2.4
33,CLAY COUNTY,Minnesota,2022,2.2
34,LE SUEUR COUNTY,Minnesota,2022,3.6
35,HUBBARD COUNTY,Minnesota,2022,4.2
36,FREEBORN COUNTY,Minnesota,2022,2.7
37,LAKE COUNTY,Minnesota,2022,5.0
38,HOUSTON COUNTY,Minnesota,2022,2.3
39,GOODHUE COUNTY,Minnesota,2022,2.6
40,KANDIYOHI COUNTY,Minnesota,2022,2.9
41,ANOKA COUNTY,Minnesota,2022,2.6
43,RED LAKE COUNTY,Minnesota,2022,4.3
44,NORMAN COUNTY,Minnesota,2022,4.3
45,MARTIN COUNTY,Minnesota,2022,3.5
46,SWIFT COUNTY,Minnesota,2022,4.0
47,PENNINGTON COUNTY,Minnesota,2022,4.0
48,OTTER TAIL COUNTY,Minnesota,2022,3.7
49,SHERBURNE COUNTY,Minnesota,2022,3.9
50,STEARNS COUNTY,Minnesota,2022,4.0
51,MAHNOMEN COUNTY,Minnesota,2022,6.6
52,PINE COUNTY,Minnesota,2022,5.5
53,ROCK COUNTY,Minnesota,2022,2.1
54,MEEKER COUNTY,Minnesota,2022,3.7
55,TRAVERSE COUNTY,Minnesota,2022,3.4
56,MURRAY COUNTY,Minnesota,2022,4.1
57,MORRISON COUNTY,Minnesota,2022,4.8
58,STEELE COUNTY,Minnesota,2022,3.6
59,WASECA COUNTY,Minnesota,2022,4.3
60,SAINT LOUIS COUNTY,Minnesota,2022,4.2
61,RICE COUNTY,Minnesota,2022,3.5
62,WATONWAN COUNTY,Minnesota,2022,3.3
63,YELLOW MEDICINE COUNTY,Minnesota,2022,3.2
64,REDWOOD COUNTY,Minnesota,2022,3.7
65,STEVENS COUNTY,Minnesota,2022,2.6
66,NOBLES COUNTY,Minnesota,2022,3.1
67,TODD COUNTY,Minnesota,2022,4.1
68,PIPESTONE COUNTY,Minnesota,2022,3.1
69,WINONA COUNTY,Minnesota,2022,3.1
70,NICOLLET COUNTY,Minnesota,2022,3.0
71,WILKIN COUNTY,Minnesota,2022,3.1
72,WADENA COUNTY,Minnesota,2022,4.9
73,MCLEOD COUNTY,Minnesota,2022,3.8
74,MARSHALL COUNTY,Minnesota,2022,4.5
75,WRIGHT COUNTY,Minnesota,2022,3.5
76,MOWER COUNTY,Minnesota,2022,3.4
77,WABASHA COUNTY,Minnesota,2022,3.3
78,POLK COUNTY,Minnesota,2022,4.2
79,RAMSEY COUNTY,Minnesota,2022,4.2
80,ROSEAU COUNTY,Minnesota,2022,3.2
81,POPE COUNTY,Minnesota,2022,3.2
82,MILLE LACS COUNTY,Minnesota,2022,5.7
83,WASHINGTON COUNTY,Minnesota,2022,3.3
84,RENVILLE COUNTY,Minnesota,2022,4.3
85,SCOTT COUNTY,Minnesota,2022,3.4
86,OLMSTED COUNTY,Minnesota,2022,3.1
87,SIBLEY COUNTY,Minnesota,2022,4.0
88,BECKER COUNTY,Minnesota,2021,3.6
89,CARLTON COUNTY,Minnesota,2021,4.4
90,LAC QUI PARLE COUNTY,Minnesota,2021,3.1
91,DOUGLAS COUNTY,Minnesota,2021,3.1
92,COOK COUNTY,Minnesota,2021,4.8
93,ISANTI COUNTY,Minnesota,2021,4.5
94,BIG STONE COUNTY,Minnesota,2021,3.8
95,KITTSON COUNTY,Minnesota,2021,3.2
96,CASS COUNTY,Minnesota,2021,4.9
97,LINCOLN COUNTY,Minnesota,2021,3.7
98,COTTONWOOD COUNTY,Minnesota,2021,3.7
99,BENTON COUNTY,Minnesota,2021,4.7
100,KOOCHICHING COUNTY,Minnesota,2021,4.8
101,BLUE EARTH COUNTY,Minnesota,2021,3.4
