COUNTY_FULL,STATE_NAME,YEAR,UE_RATE
Becker County                   ,Minnesota,2022,2.9
Carlton County                  ,Minnesota,2022,3.6
Lac qui Parle County            ,Minnesota,2022,2.7
Douglas County                  ,Minnesota,2022,2.4
Cook County                     ,Minnesota,2022,3.5
Isanti County                   ,Minnesota,2022,3.4
Big Stone County                ,Minnesota,2022,3.3
Kittson County                  ,Minnesota,2022,2.8
Cass County                     ,Minnesota,2022,4.2
Lincoln County                  ,Minnesota,2022,2.9
Cottonwood County               ,Minnesota,2022,2.8
Benton County                   ,Minnesota,2022,3.4
Koochiching County              ,Minnesota,2022,4.0
Blue Earth County               ,Minnesota,2022,2.3
Beltrami County                 ,Minnesota,2022,3.3
Carver County                   ,Minnesota,2022,2.2
Brown County                    ,Minnesota,2022,2.7
Hennepin County                 ,Minnesota,2022,2.5
Aitkin County                   ,Minnesota,2022,4.5
Grant County                    ,Minnesota,2022,2.9
Kanabec County                  ,Minnesota,2022,4.7
Lyon County                     ,Minnesota,2022,2.5
Fillmore County                 ,Minnesota,2022,2.6
Crow Wing County                ,Minnesota,2022,3.2
Dodge County                    ,Minnesota,2022,2.7
Lake of the Woods County        ,Minnesota,2022,3.2
Chisago County                  ,Minnesota,2022,3.1
Itasca County                   ,Minnesota,2022,4.5
Clearwater County               ,Minnesota,2022,6.6
Jackson County                  ,Minnesota,2022,2.5
Faribault County                ,Minnesota,2022,3.2
Dakota County                   ,Minnesota,2022,2.4
Chippewa County                 ,Minnesota,2022,2.4
Clay County                     ,Minnesota,2022,2.2
Le Sueur County                 ,Minnesota,2022,3.6
Hubbard County                  ,Minnesota,2022,4.2
Freeborn County                 ,Minnesota,2022,2.7
Lake County                     ,Minnesota,2022,5.0
Houston County                  ,Minnesota,2022,2.3
Goodhue County                  ,Minnesota,2022,2.6
Kandiyohi County                ,Minnesota,2022,2.9
Anoka County                    ,Minnesota,2022,2.6
Red Lake County                 ,Minnesota,2022,4.3
Norman County                   ,Minnesota,2022,4.3
Martin County                   ,Minnesota,2022,3.5
Swift County                    ,Minnesota,2022,4.0
Pennington County               ,Minnesota,2022,4.0
Otter Tail County               ,Minnesota,2022,3.7
Sherburne County                ,Minnesota,2022,3.9
Stearns County                  ,Minnesota,2022,4.0
Mahnomen County                 ,Minnesota,2022,6.6
Pine County                     ,Minnesota,2022,5.5
Rock County                     ,Minnesota,2022,2.1
Meeker County                   ,Minnesota,2022,3.7
Traverse County                 ,Minnesota,2022,3.4
Murray County                   ,Minnesota,2022,4.1
Morrison County                 ,Minnesota,2022,4.8
Steele County                   ,Minnesota,2022,3.6
Waseca County                   ,Minnesota,2022,4.3
Saint Louis County              ,Minnesota,2022,4.2
Rice County                     ,Minnesota,2022,3.5
Watonwan County                 ,Minnesota,2022,3.3
Yellow Medicine County          ,Minnesota,2022,3.2
Redwood County                  ,Minnesota,2022,3.7
Stevens County                  ,Minnesota,2022,2.6
Nobles County                   ,Minnesota,2022,3.1
Todd County                     ,Minnesota,2022,4.1
Pipestone County                ,Minnesota,2022,3.1
Winona County                   ,Minnesota,2022,3.1
Nicollet County                 ,Minnesota,2022,3.0
Wilkin County                   ,Minnesota,2022,3.1
Wadena County                   ,Minnesota,2022,4.9
McLeod County                   ,Minnesota,2022,3.8
Marshall County                 ,Minnesota,2022,4.5
