Poverty Guidelines for the 48 Contiguous States and the District of Columbia,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Year,1 Person,2 Persons,3 Persons,4 Persons,5 Persons,6 Persons,7 Persons,8 Persons,$ For Each Additional Person (9+),
2023,"$14,580 ","$19,720 ","$24,860 ","$30,000 ","$35,140 ","$40,280 ","$45,420 ","$50,560 ","$5,140 ",
2022,"$13,590 ","$18,310 ","$23,030 ","$27,750 ","$32,470 ","$37,190 ","$41,910 ","$46,630 ","$4,720 ",
2021,"$12,880 ","$17,420 ","$21,960 ","$26,500 ","$31,040 ","$35,580 ","$40,120 ","$44,660 ","$4,540 ",
2020,"$12,760 ","$17,240 ","$21,720 ","$26,200 ","$30,680 ","$35,160 ","$39,640 ","$44,120 ","$4,480 ",
2019,"$12,490 ","$16,910 ","$21,330 ","$25,750 ","$30,170 ","$34,590 ","$39,010 ","$43,430 ","$4,420 ",
2018,"$12,140 ","$16,460 ","$20,780 ","$25,100 ","$29,420 ","$33,740 ","$38,060 ","$42,380 ","$4,320 ",
2017,"$12,060 ","$16,240 ","$20,420 ","$24,600 ","$28,780 ","$32,960 ","$37,140 ","$41,320 ","$4,180 ",
2016,"$11,880 ","$16,020 ","$20,160 ","$24,300 ","$28,440 ","$32,580 ","$36,730 ","$40,890 ","$4,160 ",
2015,"$11,770 ","$15,930 ","$20,090 ","$24,250 ","$28,410 ","$32,570 ","$36,730 ","$40,890 ","$4,160 ",
2014,"$11,670 ","$15,730 ","$19,790 ","$23,850 ","$27,910 ","$31,970 ","$36,030 ","$40,090 ","$4,060 ",
2013,"$11,490 ","$15,510 ","$19,530 ","$23,550 ","$27,570 ","$31,590 ","$35,610 ","$39,630 ","$4,020 ",
2012,"$11,170 ","$15,130 ","$19,090 ","$23,050 ","$27,010 ","$30,970 ","$34,930 ","$38,890 ","$3,960 ",
2011,"$10,890 ","$14,710 ","$18,530 ","$22,350 ","$26,170 ","$29,990 ","$33,810 ","$37,630 ","$3,820 ",
2010,"$10,830 ","$14,570 ","$18,310 ","$22,050 ","$25,790 ","$29,530 ","$33,270 ","$37,010 ","$3,740 ",
2009,"$10,830 ","$14,570 ","$18,310 ","$22,050 ","$25,790 ","$29,530 ","$33,270 ","$37,010 ","$3,740 ",
2008,"$10,400 ","$14,000 ","$17,600 ","$21,200 ","$24,800 ","$28,400 ","$32,000 ","$35,600 ","$3,600 ",
