STATE,SAEMHI_MOE,SAEMHI_PT,SAEMHI_UB90,SAEPOV0_17_LB90,SAEPOV0_17_MOE,SAEPOV0_17_PT,SAEPOV0_17_UB90,SAEPOV0_4_LB90,SAEPOV0_4_MOE,SAEPOV0_4_PT,SAEPOV0_4_UB90,SAEPOV5_17R_LB90,SAEPOV5_17R_MOE,SAEPOV5_17R_PT,SAEPOV5_17R_UB90,SAEPOVALL_LB90,SAEPOVALL_MOE,SAEPOVALL_PT,SAEPOVALL_UB90,SAEPOVRT0_17_LB90,SAEPOVRT0_17_MOE,SAEPOVRT0_17_PT,SAEPOVRT0_17_UB90,SAEPOVRT0_4_LB90,SAEPOVRT0_4_MOE,SAEPOVRT0_4_PT,SAEPOVRT0_4_UB90,SAEPOVRT5_17R_LB90,SAEPOVRT5_17R_MOE,SAEPOVRT5_17R_PT,SAEPOVRT5_17R_UB90,SAEPOVRTALL_LB90,SAEPOVRTALL_MOE,SAEPOVRTALL_PT,SAEPOVRTALL_UB90,SAEPOVU_0_17,SAEPOVU_0_4,SAEPOVU_5_17R,SAEPOVU_ALL,YEAR
Alabama,1991,33204,35194,228439,26189,254628,280817,69287,12517,81804,94320,143204,22960,166164,189124,639118,42670,681788,724458,21.0,2.40,23.4,25.8,23.5,4.20,27.7,31.9,18.1,2.95,21.0,24.0,14.7,1.00,15.7,16.7,1088427,295264,789510,4348444,1998
Alaska,2148,47177,49325,22829,5185,28014,33199,5094,2088,7182,9270,14599,4788,19387,24175,59011,6959,65970,72929,11.9,2.75,14.6,17.4,11.0,4.50,15.5,20.0,10.3,3.35,13.6,17.0,9.6,1.15,10.8,11.9,191317,46424,142297,611654,1998
Arizona,1652,37281,38933,274944,31921,306865,338786,82034,16317,98350,114667,170735,26833,197568,224401,664872,45780,710652,756432,20.3,2.35,22.6,25.0,20.7,4.15,24.8,29.0,18.6,2.90,21.5,24.4,14.0,0.95,14.9,15.9,1354868,395926,920388,4764511,1998
Arkansas,1708,29212,30920,137955,19035,156989,176024,45535,8363,53898,62261,80845,17128,97973,115101,390240,27721,417961,445681,20.6,2.85,23.5,26.3,25.4,4.65,30.0,34.7,16.7,3.55,20.3,23.8,15.3,1.10,16.4,17.5,668749,179596,483195,2544944,1998
California,1160,41003,42163,1914647,150052,2064698,2214750,538996,70998,609994,680992,1263614,131957,1395571,1527528,4685194,231859,4917053,5148912,21.1,1.65,22.8,24.4,21.1,2.80,23.9,26.7,19.7,2.05,21.8,23.8,14.2,0.70,14.9,15.6,9073297,2553749,6412059,32955150,1998
Colorado,2016,43402,45417,130706,23395,154100,177495,35542,10972,46514,57486,80096,20492,100588,121080,365337,35477,400813,436290,12.0,2.15,14.2,16.3,12.0,3.70,15.7,19.4,10.3,2.60,12.9,15.5,9.0,0.90,9.9,10.8,1088585,296394,781277,4042184,1998
Connecticut,2235,49846,52081,88475,20352,108826,129178,16000,8936,24936,33872,60131,18094,78225,96319,250763,33009,283772,316781,10.8,2.50,13.3,15.8,7.4,4.10,11.5,15.6,10.1,3.05,13.1,16.2,7.7,1.00,8.7,9.7,816491,217501,594994,3269698,1998
Delaware,1904,42662,44565,23420,4282,27702,31984,6293,2049,8342,10391,14478,3756,18234,21990,65802,6894,72696,79590,12.7,2.30,15.0,17.3,12.3,4.00,16.3,20.3,10.9,2.85,13.7,16.6,8.8,0.95,9.7,10.7,184560,51249,132834,746861,1998
Florida,1188,34757,35944,725207,66282,791489,857770,212658,31281,243939,275219,455985,58284,514269,572553,1931101,109534,2040634,2150168,20.0,1.85,21.9,23.7,21.6,3.15,24.8,27.9,17.7,2.30,20.0,22.3,12.9,0.70,13.6,14.3,3619641,985518,2572782,15022569,1998
Georgia,1766,37826,39592,406216,48802,455018,503819,109273,23842,133114,156956,267235,43182,310417,353599,1012522,74596,1087118,1161714,19.4,2.35,21.8,24.1,18.2,3.95,22.1,26.1,18.0,2.95,21.0,23.9,13.1,0.95,14.1,15.0,2090238,601604,1481345,7723470,1998
Hawaii,2506,41627,44133,37137,7432,44568,52000,10158,3735,13892,17627,22647,6392,29039,35431,110839,12002,122841,134843,12.5,2.50,15.0,17.5,12.3,4.50,16.8,21.3,10.8,3.05,13.8,16.9,9.5,1.00,10.5,11.5,296620,82811,210070,1168123,1998
Idaho,1733,35863,37595,55196,8486,63682,72168,18147,3906,22053,25958,31850,7523,39373,46896,145362,11990,157351,169341,15.1,2.35,17.4,19.8,18.7,4.00,22.7,26.7,12.2,2.85,15.0,17.9,11.6,0.95,12.6,13.5,365360,97190,261944,1251465,1998
Illinois,1448,43141,44588,436158,62646,498804,561449,125475,27182,152657,179838,264752,56671,321423,378094,1186987,94439,1281425,1375864,13.5,1.95,15.4,17.4,14.2,3.05,17.2,20.3,11.5,2.45,13.9,16.4,9.8,0.80,10.6,11.4,3235571,886541,2310088,12057888,1998
Indiana,1749,39719,41467,185054,34804,219858,254662,49007,17048,66054,83102,106998,30397,137395,167792,535725,53040,588765,641804,11.9,2.25,14.1,16.4,11.5,3.95,15.4,19.4,9.8,2.80,12.6,15.4,9.1,0.90,10.0,10.9,1557259,427920,1093080,5905936,1998
Iowa,1796,38159,39955,85253,16521,101774,118295,23428,7421,30849,38269,49513,14428,63941,78369,244108,26496,270604,297100,11.5,2.25,13.8,16.0,12.3,3.90,16.2,20.1,9.4,2.70,12.1,14.8,8.6,0.90,9.5,10.4,739423,190024,528968,2845329,1998
Kansas,1828,38553,40380,87030,15837,102867,118703,21515,7147,28662,35809,54484,14129,68613,82742,250586,24388,274974,299362,12.2,2.20,14.4,16.6,11.3,3.75,15.1,18.8,10.6,2.75,13.4,16.1,9.5,0.95,10.5,11.4,714563,190172,512741,2627795,1998
