,STATE_NAME,PR_ALL,PR_YOUTH,MED_HH_INCOME,COUNTY_FULL,LAT,LNG
0,Alabama,10.7,16.1,66444.0,Autauga County,32.5349,-86.6427
1,Alabama,10.8,16.4,65658.0,Baldwin County,30.7276,-87.7226
2,Alabama,23.0,35.1,38649.0,Barbour County,31.8696,-85.3932
3,Alabama,20.6,29.0,48454.0,Bibb County,32.9986,-87.1265
4,Alabama,12.0,16.7,56894.0,Blount County,33.9809,-86.5674
5,Alabama,32.1,41.7,32027.0,Bullock County,32.1005,-85.7157
6,Alabama,22.7,34.2,39442.0,Butler County,31.7524,-86.6803
7,Alabama,19.2,25.2,48166.0,Calhoun County,33.7714,-85.826
8,Alabama,19.7,32.2,45447.0,Chambers County,32.9143,-85.392
9,Alabama,18.2,26.6,46365.0,Cherokee County,34.1759,-85.6038
10,Alabama,15.5,22.4,55142.0,Chilton County,32.8479,-86.7188
11,Alabama,23.3,32.4,40601.0,Choctaw County,32.0198,-88.2632
12,Alabama,19.4,29.2,45447.0,Clarke County,31.6767,-87.8308
13,Alabama,18.4,27.6,47036.0,Clay County,33.269,-85.8605
14,Alabama,15.0,22.1,49769.0,Cleburne County,33.6745,-85.5188
15,Alabama,15.9,24.2,55052.0,Coffee County,31.4027,-85.9882
16,Alabama,16.5,23.6,53341.0,Colbert County,34.7005,-87.8049
17,Alabama,22.4,33.9,35621.0,Conecuh County,31.4292,-86.9937
18,Alabama,17.1,29.9,45954.0,Coosa County,32.9362,-86.2477
19,Alabama,19.8,28.3,44188.0,Covington County,31.2485,-86.4513
20,Alabama,17.5,28.9,38037.0,Crenshaw County,31.7315,-86.3136
21,Alabama,13.5,17.5,55036.0,Cullman County,34.1319,-86.8676
22,Alabama,15.7,22.7,50086.0,Dale County,31.4318,-85.611
23,Alabama,29.5,45.4,33159.0,Dallas County,32.326,-87.1065
24,Alabama,19.4,29.3,45062.0,DeKalb County,34.4598,-85.8041
25,Alabama,12.0,17.3,63147.0,Elmore County,32.5966,-86.1492
26,Alabama,23.8,29.9,40506.0,Escambia County,31.1261,-87.1616
27,Alabama,17.4,25.0,46308.0,Etowah County,34.0453,-86.0348
28,Alabama,19.6,26.5,46122.0,Fayette County,33.7212,-87.7388
29,Alabama,18.9,25.1,45440.0,Franklin County,34.4417,-87.8437
30,Alabama,21.1,29.1,43206.0,Geneva County,31.095,-85.8391
31,Alabama,33.2,51.8,30225.0,Greene County,32.8531,-87.9522
32,Alabama,22.1,32.6,41995.0,Hale County,32.7627,-87.6291
33,Alabama,15.6,24.6,56389.0,Henry County,31.5147,-85.2414
34,Alabama,19.1,27.1,48701.0,Houston County,31.1532,-85.3025
35,Alabama,18.9,27.0,46998.0,Jackson County,34.7795,-85.9994
36,Alabama,16.9,23.6,55210.0,Jefferson County,33.5543,-86.8964
37,Alabama,17.0,24.7,44265.0,Lamar County,33.7791,-88.097
38,Alabama,16.2,22.8,52222.0,Lauderdale County,34.9014,-87.654
