OCC_CODE,OCC_TITLE,OCC_GROUP,TOT_EMP,EMP_PRSE,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,YEAR
00-0000,All Occupations,,127980410,0.1,16.35,34020.0,0.2,6.76,8.72,13.01,20.31,30.23,14070,18140,27060.0,42240,62880,2001
11-0000,Management Occupations,major,7212360,0.3,34.04,70800.0,0.2,14.62,20.84,30.88,44.77,66.62,30410,43340,64220.0,93120,138570,2001
11-1011,Chief Executives,,455930,0.8,51.77,107670.0,0.4,23.52,36.93,57.91,#,#,48920,76810,120450.0,#,#,2001
11-1021,General and Operations Managers,,2064220,0.4,35.37,73570.0,0.2,14.99,20.81,31.25,48.22,#,31190,43280,65000.0,100300,#,2001
11-1031,Legislators,,67400,2.8,13.54,28170.0,1.8,5.69,6.17,7.05,17,31.2,11830,12840,14650.0,35360,64890,2001
11-2011,Advertising and Promotions Managers,,85850,1.4,31.23,64960.0,1.1,14.04,18.45,26.9,40.96,60.52,29210,38370,55940.0,85190,125880,2001
11-2021,Marketing Managers,,189140,1.1,37.7,78410.0,0.4,18.14,25.06,35.75,49.57,66.61,37740,52130,74370.0,103100,138540,2001
11-2022,Sales Managers,,317410,0.8,37.02,77000.0,0.3,17.35,23.79,34.43,49.12,68.97,36090,49490,71620.0,102170,143450,2001
11-2031,Public Relations Managers,,64920,2.7,30.9,64280.0,1.1,15.12,20.28,27.5,39.2,54.28,31440,42190,57200.0,81540,112910,2001
11-3011,Administrative Services Managers,,311600,1.0,26.67,55460.0,0.4,12.1,16.41,23.95,34.26,45.82,25170,34120,49810.0,71260,95300,2001
11-3021,Computer and Information Systems Managers,,267310,1.0,40.33,83890.0,0.4,22.31,30.03,39.65,51.03,64.95,46410,62470,82480.0,106140,135090,2001
11-3031,Financial Managers,,570110,0.9,36.26,75430.0,0.6,18.05,24.17,33.75,46.26,65.72,37530,50270,70210.0,96210,136700,2001
11-3040,Human Resources Managers,,194470,1.0,31.89,66330.0,0.4,16.69,21.91,29.75,40.65,52.4,34720,45580,61880.0,84540,108990,2001
11-3051,Industrial Production Managers,,183050,0.7,32.84,68310.0,0.3,17.99,23.35,31.01,41,52.86,37420,48560,64510.0,85290,109950,2001
11-3061,Purchasing Managers,,107130,0.9,29.44,61250.0,0.4,14.79,19.85,27.24,36.93,48.6,30750,41280,56670.0,76810,101090,2001
11-3071,"Transportation, Storage, and Distribution Managers",,108590,1.0,29.48,61330.0,0.5,15.96,20.88,27.52,36.18,46.2,33190,43440,57240.0,75260,96100,2001
11-9011,"Farm, Ranch, and Other Agricultural Managers",,5720,5.1,22.41,46610.0,1.3,11.25,15.09,20.27,27.1,37.04,23390,31380,42170.0,56370,77050,2001
11-9021,Construction Managers,,213960,1.5,31.82,66190.0,0.5,17.66,22.58,29.35,38.74,52.15,36730,46960,61060.0,80580,108460,2001
11-9031,"Education Administrators, Preschool and Child Care Center/Program",,52640,2.3,17.78,36980.0,1.2,9.18,11.54,15.32,21.32,30.6,19100,24010,31860.0,44340,63640,2001
11-9033,"Education Administrators, Postsecondary",,94120,2.1,32.09,66760.0,0.8,16.18,21.4,29.66,40.87,54.15,33640,44510,61700.0,85000,112620,2001
11-9041,Engineering Managers,,214760,1.2,42.74,88900.0,0.4,26.78,33.57,42.06,52.69,65.23,55700,69820,87490.0,109600,135680,2001
11-9051,Food Service Managers,,260880,3.7,18.41,38290.0,5.5,9.79,12.51,16.17,21.19,29.58,20370,26020,33620.0,44080,61540,2001
11-9061,Funeral Directors,,25300,2.6,23.27,48400.0,2.2,11.16,15.41,20.2,27.24,39.86,23210,32060,42010.0,56660,82910,2001
11-9071,Gaming Managers,,3470,4.9,28.38,59020.0,1.4,14.01,19.35,25.7,34.42,47.84,29140,40240,53450.0,71580,99510,2001
11-9081,Lodging Managers,,31040,2.9,17.71,36830.0,1,9.56,12.14,15.8,20.97,27.62,19890,25260,32860.0,43630,57460,2001
11-9111,Medical and Health Services Managers,,227410,1.0,31.03,64550.0,0.4,17.58,22.36,28.47,36.92,50.17,36560,46510,59220.0,76790,104350,2001
11-9121,Natural Sciences Managers,,42650,3.0,39.88,82940.0,1.5,21.38,28.21,38.66,51.46,67.03,44460,58680,80420.0,107030,139420,2001
11-9131,Postmasters and Mail Superintendents,,26640,0.0,22.5,46810.0,0.1,16.92,18.64,21.39,26.55,31.66,35190,38770,44500.0,55220,65860,2001
11-9141,"Property, Real Estate, and Community Association Managers",,156180,2.3,21.19,44080.0,1.4,8.52,11.98,17.45,26.42,40.15,17720,24920,36300.0,54950,83510,2001
11-9151,Social and Community Service Managers,,100810,2.2,21.41,44540.0,1,11.5,14.97,19.84,26.27,34.07,23920,31140,41260.0,54640,70860,2001
13-0000,Business and Financial Operations Occupations,major,4676680,0.5,24.32,50580.0,0.2,12.65,16.47,21.98,29.67,39.74,26320,34260,45720.0,61700,82650,2001
13-1011,"Agents and Business Managers of Artists, Performers, and Athletes",,10270,18.3,30.04,62480.0,4.2,12.88,18.16,26.71,36.91,58.89,26790,37770,55550.0,76780,122490,2001
13-1021,"Purchasing Agents and Buyers, Farm Products",,17640,4.4,21.7,45130.0,1.6,11.16,14.59,18.6,25.57,37.17,23210,30360,38680.0,53180,77310,2001
13-1022,"Wholesale and Retail Buyers, Except Farm Products",,131670,1.5,21.25,44200.0,0.8,10.82,13.69,18.55,25.75,35.45,22500,28480,38590.0,53550,73740,2001
13-1023,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",,228360,0.7,22.16,46090.0,0.3,12.88,16.08,20.79,27.07,33.86,26780,33440,43230.0,56310,70430,2001
13-1031,"Claims Adjusters, Examiners, and Investigators",,200510,2.2,21.8,45350.0,0.6,12.67,15.74,20.4,26.66,33.82,26350,32730,42440.0,55460,70350,2001
13-1032,"Insurance Appraisers, Auto Damage",,12110,6.8,20.37,42360.0,1.4,13,16.28,20.1,24.5,28.08,27040,33870,41810.0,50950,58410,2001
13-1041,"Compliance Officers, Except Agriculture, Construction, Health and Safety, and Transportation",,136580,0.9,22.23,46250.0,0.4,12.79,15.89,20.5,26.87,34.41,26610,33060,42640.0,55890,71560,2001
13-1051,Cost Estimators,,188840,1.2,24.25,50450.0,0.3,13.69,17.3,22.58,29.43,37.64,28470,35980,46960.0,61220,78290,2001
13-1061,Emergency Management Specialists,,10720,2.4,21.76,45260.0,0.9,10.88,15.1,20.08,27.46,35.52,22640,31400,41770.0,57110,73870,2001
13-1071,"Employment, Recruitment, and Placement Specialists",,173940,1.9,21.31,44320.0,1,11.3,14.02,18.27,25.34,34.95,23500,29170,38010.0,52720,72690,2001
13-1072,"Compensation, Benefits, and Job Analysis Specialists",,81450,1.3,22.09,45950.0,0.5,12.72,16.08,20.83,26.64,33.79,26460,33450,43330.0,55400,70280,2001
13-1073,Training and Development Specialists,,186780,1.4,21.54,44800.0,0.5,11.6,15.05,20.09,26.87,34.13,24130,31290,41780.0,55890,71000,2001
13-1111,Management Analysts,,363890,1.7,31.0,64470.0,0.9,16.84,21.43,27.87,37.61,52.7,35020,44580,57970.0,78230,109620,2001
13-1121,Meeting and Convention Planners,,29560,2.5,19.08,39680.0,0.8,11.18,13.79,17.57,22.68,29.45,23240,28680,36550.0,47180,61250,2001
13-2011,Accountants and Auditors,,881390,0.9,24.37,50690.0,0.4,14.08,17.23,21.82,28.65,38.42,29280,35830,45380.0,59580,79910,2001
13-2021,Appraisers and Assessors of Real Estate,,59630,4.1,20.39,42420.0,1.6,9.89,13.36,18.72,25.62,33.62,20570,27790,38950.0,53290,69930,2001
13-2031,Budget Analysts,,60620,1.6,25.5,53040.0,0.5,15.9,19.35,24.29,30.55,37.35,33070,40250,50510.0,63550,77680,2001
13-2041,Credit Analysts,,66710,4.2,22.68,47170.0,1.3,12.03,15.03,20.02,27.09,36.86,25020,31260,41640.0,56350,76670,2001
13-2051,Financial Analysts,,157770,2.4,30.02,62440.0,1.2,16.12,20.36,26.5,35.7,51.79,33520,42350,55130.0,74260,107720,2001
13-2052,Personal Financial Advisors,,83820,4.5,33.32,69310.0,1.8,12.77,17.47,27.75,47.66,#,26560,36350,57710.0,99130,#,2001
13-2053,Insurance Underwriters,,92780,2.3,23.45,48770.0,0.9,13.33,16.42,21.19,28.14,36.9,27720,34150,44060.0,58530,76750,2001
13-2061,Financial Examiners,,24570,2.6,28.78,59860.0,1.4,14.96,19.31,26.46,35.79,47.92,31110,40160,55030.0,74440,99670,2001
13-2071,Loan Counselors,,29710,5.1,17.19,35760.0,1.6,10.77,12.32,15.13,19.79,27.65,22400,25620,31470.0,41160,57520,2001
13-2072,Loan Officers,,213450,1.6,24.07,50070.0,0.7,12.09,15.29,20.78,29.21,41.79,25140,31800,43210.0,60770,86920,2001
13-2081,"Tax Examiners, Collectors, and Revenue Agents",,68780,0.8,21.72,45180.0,0.4,11.19,14.97,20.61,28.28,34.29,23270,31130,42860.0,58820,71320,2001
13-2082,Tax Preparers,,59520,4.9,15.73,32710.0,2.1,7.05,8.82,13.31,19.25,27.85,14670,18340,27680.0,40040,57930,2001
15-0000,Computer and Mathematical Occupations,major,2825870,0.7,29.02,60350.0,0.3,14.95,20.26,27.72,36.66,45.62,31090,42140,57650.0,76240,94890,2001
15-1011,"Computer and Information Scientists, Research",,25620,3.9,37.01,76970.0,1.2,20.48,27.55,36.12,45.82,57.28,42590,57310,75130.0,95300,119150,2001
15-1021,Computer Programmers,,501550,2.0,30.23,62890.0,0.7,17.01,22.19,28.9,37.42,46.34,35390,46160,60110.0,77830,96390,2001
15-1031,"Computer Software Engineers, Applications",,361690,2.0,34.79,72370.0,0.6,21.34,26.54,33.76,42.34,52.48,44380,55210,70210.0,88060,109170,2001
15-1032,"Computer Software Engineers, Systems Software",,261520,2.6,35.81,74490.0,0.7,22.03,27.74,35.23,43.49,53.24,45820,57700,73280.0,90450,110750,2001
