,COUNTY_FULL,STATE_NAME,YEAR,UE_RATE
0,Becker County                   ,Minnesota,2022,2.9
1,Carlton County                  ,Minnesota,2022,3.6
2,Lac qui Parle County            ,Minnesota,2022,2.7
3,Douglas County                  ,Minnesota,2022,2.4
4,Cook County                     ,Minnesota,2022,3.5
5,Isanti County                   ,Minnesota,2022,3.4
6,Big Stone County                ,Minnesota,2022,3.3
7,Kittson County                  ,Minnesota,2022,2.8
8,Cass County                     ,Minnesota,2022,4.2
9,Lincoln County                  ,Minnesota,2022,2.9
10,Cottonwood County               ,Minnesota,2022,2.8
11,Benton County                   ,Minnesota,2022,3.4
12,Koochiching County              ,Minnesota,2022,4.0
13,Blue Earth County               ,Minnesota,2022,2.3
14,Beltrami County                 ,Minnesota,2022,3.3
15,Carver County                   ,Minnesota,2022,2.2
16,Brown County                    ,Minnesota,2022,2.7
17,Hennepin County                 ,Minnesota,2022,2.5
18,Aitkin County                   ,Minnesota,2022,4.5
19,Grant County                    ,Minnesota,2022,2.9
20,Kanabec County                  ,Minnesota,2022,4.7
21,Lyon County                     ,Minnesota,2022,2.5
22,Fillmore County                 ,Minnesota,2022,2.6
23,Crow Wing County                ,Minnesota,2022,3.2
24,Dodge County                    ,Minnesota,2022,2.7
25,Lake of the Woods County        ,Minnesota,2022,3.2
26,Chisago County                  ,Minnesota,2022,3.1
27,Itasca County                   ,Minnesota,2022,4.5
28,Clearwater County               ,Minnesota,2022,6.6
29,Jackson County                  ,Minnesota,2022,2.5
30,Faribault County                ,Minnesota,2022,3.2
31,Dakota County                   ,Minnesota,2022,2.4
32,Chippewa County                 ,Minnesota,2022,2.4
33,Clay County                     ,Minnesota,2022,2.2
34,Le Sueur County                 ,Minnesota,2022,3.6
35,Hubbard County                  ,Minnesota,2022,4.2
36,Freeborn County                 ,Minnesota,2022,2.7
37,Lake County                     ,Minnesota,2022,5.0
38,Houston County                  ,Minnesota,2022,2.3
39,Goodhue County                  ,Minnesota,2022,2.6
40,Kandiyohi County                ,Minnesota,2022,2.9
41,Anoka County                    ,Minnesota,2022,2.6
43,Red Lake County                 ,Minnesota,2022,4.3
44,Norman County                   ,Minnesota,2022,4.3
45,Martin County                   ,Minnesota,2022,3.5
46,Swift County                    ,Minnesota,2022,4.0
47,Pennington County               ,Minnesota,2022,4.0
48,Otter Tail County               ,Minnesota,2022,3.7
49,Sherburne County                ,Minnesota,2022,3.9
50,Stearns County                  ,Minnesota,2022,4.0
51,Mahnomen County                 ,Minnesota,2022,6.6
52,Pine County                     ,Minnesota,2022,5.5
53,Rock County                     ,Minnesota,2022,2.1
54,Meeker County                   ,Minnesota,2022,3.7
55,Traverse County                 ,Minnesota,2022,3.4
56,Murray County                   ,Minnesota,2022,4.1
57,Morrison County                 ,Minnesota,2022,4.8
58,Steele County                   ,Minnesota,2022,3.6
59,Waseca County                   ,Minnesota,2022,4.3
60,Saint Louis County              ,Minnesota,2022,4.2
61,Rice County                     ,Minnesota,2022,3.5
62,Watonwan County                 ,Minnesota,2022,3.3
63,Yellow Medicine County          ,Minnesota,2022,3.2
64,Redwood County                  ,Minnesota,2022,3.7
65,Stevens County                  ,Minnesota,2022,2.6
66,Nobles County                   ,Minnesota,2022,3.1
67,Todd County                     ,Minnesota,2022,4.1
68,Pipestone County                ,Minnesota,2022,3.1
69,Winona County                   ,Minnesota,2022,3.1
70,Nicollet County                 ,Minnesota,2022,3.0
71,Wilkin County                   ,Minnesota,2022,3.1
72,Wadena County                   ,Minnesota,2022,4.9
73,McLeod County                   ,Minnesota,2022,3.8
74,Marshall County                 ,Minnesota,2022,4.5
75,Wright County                   ,Minnesota,2022,3.5
76,Mower County                    ,Minnesota,2022,3.4
77,Wabasha County                  ,Minnesota,2022,3.3
78,Polk County                     ,Minnesota,2022,4.2
79,Ramsey County                   ,Minnesota,2022,4.2
80,Roseau County                   ,Minnesota,2022,3.2
81,Pope County                     ,Minnesota,2022,3.2
82,Mille Lacs County               ,Minnesota,2022,5.7
83,Washington County               ,Minnesota,2022,3.3
84,Renville County                 ,Minnesota,2022,4.3
85,Scott County                    ,Minnesota,2022,3.4
86,Olmsted County,Minnesota,2022,3.1
87,Sibley County                   ,Minnesota,2022,4.0
88,Becker County                   ,Minnesota,2021,3.6
89,Carlton County                  ,Minnesota,2021,4.4
90,Lac qui Parle County            ,Minnesota,2021,3.1
91,Douglas County                  ,Minnesota,2021,3.1
92,Cook County                     ,Minnesota,2021,4.8
93,Isanti County                   ,Minnesota,2021,4.5
94,Big Stone County                ,Minnesota,2021,3.8
95,Kittson County                  ,Minnesota,2021,3.2
96,Cass County                     ,Minnesota,2021,4.9
97,Lincoln County                  ,Minnesota,2021,3.7
98,Cottonwood County               ,Minnesota,2021,3.7
99,Benton County                   ,Minnesota,2021,4.7
100,Koochiching County              ,Minnesota,2021,4.8
101,Blue Earth County               ,Minnesota,2021,3.4
102,Beltrami County                 ,Minnesota,2021,4.0
103,Carver County                   ,Minnesota,2021,3.0
104,Brown County                    ,Minnesota,2021,3.4
105,Hennepin County                 ,Minnesota,2021,3.8
106,Aitkin County                   ,Minnesota,2021,5.2
107,Grant County                    ,Minnesota,2021,4.0
108,Kanabec County                  ,Minnesota,2021,5.7
109,Lyon County                     ,Minnesota,2021,3.0
110,Fillmore County                 ,Minnesota,2021,3.3
111,Crow Wing County                ,Minnesota,2021,4.4
112,Dodge County                    ,Minnesota,2021,3.4
